pair,seen_at,obs_at,start_time,mins_to_start,fair1,fair2,quote1,quote2,limit_usd,version
barrena|a|caniato|c,2026-09-19 00:12:53,2026-09-19 00:06:45,2026-09-19 11:40:00,687.1,0.4563672176719073,0.5436327823280928,0.47619047619047616,0.5633187772925764,1000,3733591581
jang|g|shubladze|a,2026-09-19 00:12:53,2026-09-19 00:06:45,2026-09-19 02:10:00,117.1,0.04300296021096162,0.9569970397890379,0.066006600660066,0.9722222222222223,250,3733585180
vallejo|a|varillas|j,2026-09-19 00:12:53,2026-09-19 00:06:45,2026-09-19 00:05:00,-7.9,0.6588146627187734,0.3411853372812266,0.673202614379085,0.35587188612099646,3000,3733586235
kuzmova|k|tupitsyna|e,2026-09-19 00:12:53,2026-09-19 00:06:45,2026-09-19 06:00:00,347.1,0.5646342713344897,0.43536572866551027,0.5918367346938775,0.4629629629629629,750,3733590395
hontama|m|lee|e,2026-09-19 00:12:53,2026-09-19 00:06:45,2026-09-19 03:20:00,187.1,0.7819570089939255,0.21804299100607444,0.8027613412228797,0.24038461538461536,250,3733587227
sakamoto|r|shepp|a,2026-09-19 00:12:53,2026-09-19 00:09:47,2026-09-19 00:17:00,4.1,0.8377105784685498,0.16228942153145015,0.8514115898959881,0.17699115044247787,2250,3733594672
lu|j|shibahara|e,2026-09-19 00:12:53,2026-09-19 00:06:45,2026-09-19 02:00:00,107.1,0.4525817907919766,0.5474182092080234,0.47619047619047616,0.5708154506437768,750,3733590692
barsukov|n|kachmazov|a,2026-09-19 00:12:53,2026-09-19 00:06:45,2026-09-19 02:00:00,107.1,0.24907346133013458,0.7509265386698654,0.273972602739726,0.7742663656884875,750,3733590692
ibragimova|a|saigo|r,2026-09-19 00:12:53,2026-09-19 00:06:45,2026-09-19 05:40:00,327.1,0.7776817661069721,0.22231823389302788,0.7983870967741935,0.24449877750611249,250,3733586070
pawlikowska|z|perelygina|e,2026-09-19 00:12:53,2026-09-19 00:06:45,2026-09-19 06:00:00,347.1,0.5559893179579538,0.44401068204204625,0.5833333333333333,0.4716981132075471,750,3733590784
kasnikowski|m|minaur|a,2026-09-19 00:12:53,2026-09-19 00:06:45,2026-09-19 03:00:00,167.1,0.07934800764040091,0.9206519923595988,0.09910802775024777,0.9367488931056293,500,3733590784
hibino|n|ng|k,2026-09-19 00:12:53,2026-09-19 00:09:47,2026-09-19 04:20:00,247.1,0.9881723194890462,0.011827680510953915,0.9947017060506517,0.026191723415400735,250,3733593018
liang|e|saito|s,2026-09-19 00:12:53,2026-09-19 00:06:45,2026-09-19 05:40:00,327.1,0.6883834527223063,0.3116165472776938,0.7093023255813954,0.3333333333333333,250,3733585229
hsu|y|wallin|o,2026-09-19 00:12:53,2026-09-19 00:06:45,2026-09-19 03:00:00,167.1,0.5117990196634443,0.4882009803365558,0.5260663507109005,0.5024875621890548,3000,3733590692
astakhova|d|kaji|h,2026-09-19 00:12:53,2026-09-19 00:06:45,2026-09-19 02:10:00,117.1,0.6099456835323753,0.3900543164676246,0.6309963099630996,0.41152263374485604,250,3733585734
kulikova|a|wang|j,2026-09-19 00:12:53,2026-09-19 00:06:45,2026-09-19 03:10:00,177.1,0.631342109743061,0.3686578902569389,0.6527777777777778,0.390625,250,3733585255
ma|y|zhao|c,2026-09-19 00:12:53,2026-09-19 00:06:45,2026-09-19 03:20:00,187.1,0.7202656656509347,0.2797343343490653,0.7416020671834626,0.3021148036253776,250,3733586830
oberleitner|l|vliegen|s,2026-09-19 00:12:53,2026-09-19 00:06:45,2026-09-19 09:00:00,527.1,0.5439906623624696,0.4560093376375304,0.5708154506437768,0.48309178743961345,950,3733588753
huang|y|sidorova|k,2026-09-19 00:12:53,2026-09-19 00:06:45,2026-09-19 02:00:00,107.1,0.44759153219289183,0.5524084678071083,0.4716981132075471,0.576271186440678,750,3733590692
desvignes|e|okamura|k,2026-09-19 00:12:53,2026-09-19 00:06:45,2026-09-19 06:40:00,387.1,0.2434242556101629,0.7565757443898371,0.26595744680851063,0.7777777777777779,250,3733591003
jeong|b|zidansek|t,2026-09-19 00:12:53,2026-09-19 00:06:45,2026-09-19 04:30:00,257.1,0.12900796958331429,0.8709920304166857,0.1557632398753894,0.8937300743889479,250,3733590395
chung|y|ferguson|c,2026-09-19 00:12:53,2026-09-19 00:06:45,2026-09-19 02:00:00,107.1,0.6686595257734561,0.33134047422654417,0.6923076923076923,0.35587188612099646,750,3733590692
eikeri|u|yamaguchi|m,2026-09-19 00:12:53,2026-09-19 00:06:45,2026-09-19 06:40:00,387.1,0.1290748284336482,0.870925171566352,0.1557632398753894,0.8936170212765957,250,3733591066
garland|j|perez|e,2026-09-19 00:12:53,2026-09-19 00:06:45,2026-09-19 05:30:00,317.1,0.9384486088938038,0.06155139110619624,0.9568221070811744,0.08703220191470844,250,3733590905
canas|a|clarke|j,2026-09-19 00:12:53,2026-09-19 00:06:45,2026-09-19 08:00:00,467.1,0.5578014842731424,0.44219851572685775,0.576271186440678,0.4608294930875576,1000,3733587611
wei|s|zhang|r,2026-09-19 00:12:53,2026-09-19 00:06:45,2026-09-19 02:00:00,107.1,0.7108603303017711,0.28913966969822874,0.7340425531914894,0.31347962382445144,750,3733590395
hon|p|yao|x,2026-09-19 00:12:53,2026-09-19 00:11:19,2026-09-19 04:30:00,257.1,0.6014305710296673,0.39856942897033276,0.6226415094339623,0.42016806722689076,250,3733595350
podrez|v|siskova|a,2026-09-19 00:12:53,2026-09-19 00:06:45,2026-09-19 12:00:00,707.1,0.5,0.5,0.5327102803738317,0.5327102803738317,375,3733590395
samson|l|stefano|s,2026-09-19 00:12:53,2026-09-19 00:06:45,2026-09-19 10:10:00,597.1,0.6335560501051217,0.36644394989487833,0.6527777777777778,0.3861003861003861,500,3733590527
samsonova|l|stearns|p,2026-09-19 00:12:53,2026-09-19 00:09:47,2026-09-19 00:30:00,17.1,0.5923468376844699,0.4076531623155301,0.6047430830039526,0.42016806722689076,8000,3733594907
heck|h|simakin|i,2026-09-19 00:12:53,2026-09-19 00:06:45,2026-09-19 03:00:00,167.1,0.20088837309001203,0.7991116269099879,0.2183406113537118,0.8154981549815498,1875,3733590692
